iter	MultiClass
0	1.372241544
1	1.359787832
2	1.350742358
3	1.343223941
4	1.337431586
5	1.33176126
6	1.326411616
7	1.318531371
8	1.310747478
9	1.305734402
10	1.299474419
11	1.295342674
12	1.290927522
13	1.285154391
14	1.28119858
15	1.276714397
16	1.273656483
17	1.269873437
18	1.266260516
19	1.261920891
20	1.259459748
21	1.256863575
22	1.253323032
23	1.250372097
24	1.247298611
25	1.24387426
26	1.241829716
27	1.239417005
28	1.237051111
29	1.234998211
30	1.232707735
31	1.229695733
32	1.226567115
33	1.224036525
34	1.222109101
35	1.219539723
36	1.216890489
37	1.214889415
38	1.2115098
39	1.209180989
40	1.206899251
41	1.204761321
42	1.203595869
43	1.201188183
44	1.199827358
45	1.198128501
46	1.196239681
47	1.194262469
48	1.192614996
49	1.190814115
50	1.188498378
51	1.186094664
52	1.183891663
53	1.181437552
54	1.178915517
55	1.177154177
56	1.175001243
57	1.172363039
58	1.170193748
59	1.168288366
60	1.167424025
61	1.165396442
62	1.163143489
63	1.160478583
64	1.158469003
65	1.156520377
66	1.154940178
67	1.153289081
68	1.151635615
69	1.149667752
70	1.148326735
71	1.146830518
72	1.14497865
73	1.143253611
74	1.141583216
75	1.139871176
76	1.138722567
77	1.136654275
78	1.134650983
79	1.132564115
80	1.131373431
81	1.129933796
82	1.127865994
83	1.125998758
84	1.123252946
85	1.121561056
86	1.120539212
87	1.11942264
88	1.117776046
89	1.116649632
90	1.11472554
91	1.112694037
92	1.110916715
93	1.109043506
94	1.107389705
95	1.105393841
96	1.103843456
97	1.102353131
98	1.100965619
99	1.099948228
100	1.098759101
101	1.097106858
102	1.095739448
103	1.093828597
104	1.091734642
105	1.090745261
106	1.089319918
107	1.087526087
108	1.086254129
109	1.084633267
110	1.083077897
111	1.081175561
112	1.079373058
113	1.077679865
114	1.076266793
115	1.073916601
116	1.072513512
117	1.070830616
118	1.069243793
119	1.068017378
120	1.067289877
121	1.06581927
122	1.064885697
123	1.063122247
124	1.061859109
125	1.060979053
126	1.059781795
127	1.059009307
128	1.058041997
129	1.056391497
130	1.055734219
131	1.05467783
132	1.053413078
133	1.052203587
134	1.050536674
135	1.04950651
136	1.048676058
137	1.04759325
138	1.046306423
139	1.045600333
140	1.044018136
141	1.043305636
142	1.042558674
143	1.041475319
144	1.039980358
145	1.038473151
146	1.037316581
147	1.0363745
148	1.035346549
149	1.034165737
150	1.033224148
151	1.032128519
152	1.030446247
153	1.029329336
154	1.02805464
155	1.027182886
156	1.025502899
157	1.024218971
158	1.022546479
159	1.02173379
160	1.020585702
161	1.019610082
162	1.018443727
163	1.0171571
164	1.015966122
165	1.015190909
166	1.013647521
167	1.012739496
168	1.012249615
169	1.011424142
170	1.010076796
171	1.00897841
172	1.007943197
173	1.006949304
174	1.005796802
175	1.004896992
176	1.003803779
177	1.002476157
178	1.001683313
179	1.001011357
180	0.999963734
181	0.9991657825
182	0.998489203
183	0.9973041832
184	0.9966318535
185	0.9952884315
186	0.9945761608
187	0.9934561229
188	0.9919561094
189	0.9906346
190	0.9893201001
191	0.9882104512
192	0.9871460091
193	0.9858787699
194	0.9845363229
195	0.9838480996
196	0.9829997646
197	0.9823612115
198	0.9811886721
199	0.9805100436
200	0.9799288209
201	0.9787927177
202	0.9784462309
203	0.9771932239
204	0.9764257993
205	0.9754493676
206	0.9742063259
207	0.9731219113
208	0.9723457311
209	0.9717158293
210	0.9704112239
211	0.9694063867
212	0.9688442326
213	0.9675965215
214	0.9668937247
215	0.9656017516
216	0.9647816708
217	0.9639521625
218	0.9626785232
219	0.9617647675
220	0.9607878976
221	0.9599781903
222	0.9592155075
223	0.9581267259
224	0.9572452944
225	0.9562000284
226	0.9553207436
227	0.9543675587
228	0.9535450253
229	0.9530052367
230	0.9521884921
231	0.9513669898
232	0.9505609581
233	0.9492543159
234	0.9484491363
235	0.9476354719
236	0.946996548
237	0.9461937672
238	0.9455865188
239	0.9446241746
240	0.9439856012
241	0.9426370092
242	0.9417139979
243	0.9407316292
244	0.9398757325
245	0.9393704321
246	0.9381787515
247	0.9370704447
248	0.9362209441
249	0.9352625248
250	0.9344124517
251	0.9334905724
252	0.9328830492
253	0.9323773432
254	0.9314816764
255	0.9305188949
256	0.9296662201
257	0.929255334
258	0.9286562449
259	0.9275539128
260	0.9266874217
261	0.9258917811
262	0.9251129749
263	0.9246787921
264	0.9238679426
265	0.9229007399
266	0.9223711108
267	0.9218393815
268	0.9209155771
269	0.9202851886
270	0.9197221195
271	0.9190042565
272	0.918403246
273	0.9179125073
274	0.9172000602
275	0.9165164036
276	0.9156389219
277	0.9148145104
278	0.9143617838
279	0.9134970203
280	0.9123357378
281	0.9113194257
282	0.9103809357
283	0.9095440576
284	0.9088188609
285	0.9079864425
286	0.9073367708
287	0.9064353922
288	0.9058503095
289	0.9049360589
290	0.9041089079
291	0.9035013115
292	0.9028679277
293	0.9022601136
294	0.9018726573
295	0.9009400767
296	0.9003507613
297	0.8997439346
298	0.8992309349
299	0.8985336819
