iter	Passed	Remaining
0	16	4924
1	33	5055
2	48	4777
3	61	4562
4	74	4408
5	86	4250
6	109	4582
7	120	4384
8	133	4307
9	147	4275
10	161	4248
11	176	4237
12	190	4214
13	209	4280
14	226	4298
15	242	4310
16	256	4268
17	268	4213
18	284	4200
19	300	4204
20	316	4199
21	332	4205
22	352	4244
23	366	4218
24	382	4208
25	401	4226
26	417	4219
27	431	4195
28	449	4198
29	469	4227
30	492	4272
31	514	4308
32	529	4285
33	543	4255
34	557	4222
35	573	4205
36	586	4167
37	600	4139
38	616	4126
39	630	4099
40	644	4072
41	659	4050
42	672	4016
43	685	3985
44	700	3967
45	713	3941
46	727	3916
47	742	3899
48	777	3982
49	844	4221
50	890	4348
51	930	4436
52	943	4396
53	954	4346
54	966	4305
55	977	4260
56	987	4209
57	999	4170
58	1011	4132
59	1022	4088
60	1032	4046
61	1046	4015
62	1058	3982
63	1069	3942
64	1081	3908
65	1092	3872
66	1101	3832
67	1113	3798
68	1127	3775
69	1141	3751
70	1152	3717
71	1164	3687
72	1175	3656
73	1185	3621
74	1197	3593
75	1208	3562
76	1218	3528
77	1229	3500
78	1241	3474
79	1251	3442
80	1263	3415
81	1274	3388
82	1284	3358
83	1296	3334
84	1308	3310
85	1319	3284
86	1330	3257
87	1341	3231
88	1351	3203
89	1362	3178
90	1374	3155
91	1384	3129
92	1395	3105
93	1406	3083
94	1417	3058
95	1429	3036
96	1444	3023
97	1457	3003
98	1467	2978
99	1480	2961
100	1492	2940
101	1502	2916
102	1513	2895
103	1525	2875
104	1536	2853
105	1548	2834
106	1560	2815
107	1572	2795
108	1582	2773
109	1594	2754
110	1607	2736
111	1617	2714
112	1629	2696
113	1641	2678
114	1654	2661
115	1664	2640
116	1676	2621
117	1687	2602
118	1698	2583
119	1709	2564
120	1720	2545
121	1733	2529
122	1746	2513
123	1757	2495
124	1768	2475
125	1779	2456
126	1791	2439
127	1800	2419
128	1812	2402
129	1824	2385
130	1834	2366
131	1846	2349
132	1857	2332
133	1868	2314
134	1879	2296
135	1890	2279
136	1901	2262
137	1912	2244
138	1923	2227
139	1932	2209
140	1944	2193
141	1956	2176
142	1965	2158
143	1977	2142
144	1990	2127
145	2002	2112
146	2012	2094
147	2024	2078
148	2035	2063
149	2047	2047
150	2058	2031
151	2071	2016
152	2082	2000
153	2095	1986
154	2110	1974
155	2124	1961
156	2138	1948
157	2153	1935
158	2166	1920
159	2178	1906
160	2193	1893
161	2207	1880
162	2221	1867
163	2236	1854
164	2253	1843
165	2265	1828
166	2280	1816
167	2303	1809
168	2320	1799
169	2340	1789
170	2353	1775
171	2363	1759
172	2376	1744
173	2388	1729
174	2398	1712
175	2410	1698
176	2422	1683
177	2435	1669
178	2445	1652
179	2456	1637
180	2468	1623
181	2479	1607
182	2492	1593
183	2531	1596
184	2576	1601
185	2611	1600
186	2642	1596
187	2688	1601
188	2703	1587
189	2718	1573
190	2734	1560
191	2749	1546
192	2764	1532
193	2779	1518
194	2793	1504
195	2807	1489
196	2824	1476
197	2843	1464
198	2859	1451
199	2874	1437
200	2887	1422
201	2897	1405
202	2909	1390
203	2921	1374
204	2932	1358
205	2943	1343
206	2959	1329
207	2975	1316
208	2990	1301
209	3005	1288
210	3019	1273
211	3030	1257
212	3042	1242
213	3055	1227
214	3068	1212
215	3080	1197
216	3093	1183
217	3106	1168
218	3120	1154
219	3133	1139
220	3144	1123
221	3158	1109
222	3173	1095
223	3185	1080
224	3196	1065
225	3207	1050
226	3219	1035
227	3230	1020
228	3241	1005
229	3252	989
230	3263	974
231	3274	959
232	3285	944
233	3297	929
234	3308	915
235	3320	900
236	3331	885
237	3342	870
238	3356	856
239	3371	842
240	3383	828
241	3393	813
242	3406	799
243	3417	784
244	3428	769
245	3439	755
246	3452	740
247	3470	727
248	3487	714
249	3502	700
250	3516	686
251	3531	672
252	3544	658
253	3576	647
254	3590	633
255	3606	619
256	3620	605
257	3635	591
258	3652	578
259	3670	564
260	3685	550
261	3699	536
262	3712	522
263	3725	508
264	3781	499
265	3839	490
266	3877	479
267	3891	464
268	3904	449
269	3916	435
270	3926	420
271	3937	405
272	3948	390
273	3959	375
274	3971	361
275	3982	346
276	3993	331
277	4004	316
278	4015	302
279	4026	287
280	4038	273
281	4050	258
282	4061	243
283	4072	229
284	4084	214
285	4094	200
286	4105	185
287	4118	171
288	4128	157
289	4140	142
290	4152	128
291	4162	114
292	4173	99
293	4185	85
294	4195	71
295	4206	56
296	4217	42
297	4227	28
298	4239	14
299	4250	0
