ID,Severity,Date,Time,Latitude,Longitude,Traffic_Volume,Weather_Condition,Road_Condition,Speed_Breaker,Traffic_Signal,Junction,Crossing
BLR-1,2,01/01/2024,15:35,12.991324795278123,77.61025608738757,755.1044268473019,Sunny/Clear,Under Construction,0,1,0,0
BLR-2,3,01/01/2024,15:36,12.980668512620296,77.65319738916612,2098.9767589366716,Foggy,Dry,0,0,0,0
BLR-3,1,01/01/2024,18:53,12.89426487463906,77.60149320771288,1200.6846002758102,Sunny/Clear,Potholes/Damaged,0,0,0,0
BLR-4,3,01/01/2024,13:06,12.927178490862643,77.54596879021369,1359.1888379010197,Sunny/Clear,Potholes/Damaged,0,0,1,0
BLR-5,3,01/01/2024,08:56,13.068457803238053,77.53654496009536,1213.0946167386453,Sunny/Clear,Dry,0,0,1,1
BLR-6,3,01/01/2024,12:15,12.881179036979152,77.5660078519466,342.5813708827086,Sunny/Clear,Dry,0,0,0,0
BLR-7,3,01/01/2024,20:03,12.951421001563029,77.5965088186765,2319.3517629920398,Sunny/Clear,Dry,0,1,0,0
BLR-8,3,01/01/2024,06:34,12.954824691018992,77.5770369035884,1039.130206707542,Sunny/Clear,Dry,0,0,0,0
BLR-9,3,01/01/2024,19:14,12.952589845995764,77.61049759284187,2006.034351944028,Sunny/Clear,Dry,0,0,0,0
BLR-10,3,01/01/2024,20:25,12.893431735510825,77.69659112738036,1003.8050915150263,Sunny/Clear,Dry,0,0,0,0
BLR-11,3,01/01/2024,13:06,12.8961540478463,77.6222788855072,1613.4857629513942,Sunny/Clear,Dry,0,0,1,0
BLR-12,1,01/01/2024,17:24,12.881701796484128,77.61126625400117,1976.0929891910391,Raining,Wet,0,0,0,0
BLR-13,3,01/01/2024,04:20,13.146932521662098,77.64524558897129,911.3900227246969,Raining,Wet,0,0,0,0
BLR-14,3,01/01/2024,19:07,12.947038663199816,77.6293547312476,1295.429328869497,Sunny/Clear,Dry,0,0,0,0
BLR-15,3,01/01/2024,19:17,12.877136586285395,77.55916823145853,1189.7865395522022,Sunny/Clear,Dry,0,1,1,0
BLR-16,3,01/01/2024,20:18,13.017374449161608,77.63978488904876,1274.8562937095112,Sunny/Clear,Wet,0,0,1,1
BLR-17,3,01/01/2024,19:02,12.990577907812737,77.60287715530512,1886.7562610107664,Raining,Dry,0,0,0,0
BLR-18,3,01/01/2024,22:37,12.944823119987761,77.66566705155363,2193.8167164078086,Sunny/Clear,Wet,0,0,0,0
BLR-19,3,01/01/2024,17:26,12.940784911788523,77.65800993838374,1321.482242108875,Raining,Dry,0,0,0,0
BLR-20,2,01/01/2024,14:45,12.959431299071095,77.66163150496595,1634.802873995385,Sunny/Clear,Wet,0,1,0,0
BLR-21,3,01/01/2024,23:20,12.9115738684181,77.6851858790314,844.7591405101103,Sunny/Clear,Wet,0,1,0,0
BLR-22,2,01/01/2024,21:07,12.87324660103976,77.57465173503678,2734.799580321015,Sunny/Clear,Dry,0,0,0,0
BLR-23,3,01/01/2024,10:42,13.026391816769218,77.68586245537317,1750.2928197664155,Sunny/Clear,Potholes/Damaged,0,0,1,0
BLR-24,3,01/01/2024,11:47,12.991065441001904,77.54679520981578,1919.8786553770822,Sunny/Clear,Potholes/Damaged,0,0,0,0
BLR-25,3,01/01/2024,06:26,13.052817370115338,77.68752725007974,1259.2498877674748,Sunny/Clear,Wet,1,1,0,0
BLR-26,2,01/01/2024,02:01,12.87181019583641,77.605476100175,2035.165473891271,Sunny/Clear,Dry,0,0,0,0
BLR-27,3,01/01/2024,02:30,12.860749981656344,77.66419966469358,1569.4679223024875,Sunny/Clear,Dry,0,0,0,0
BLR-28,3,01/01/2024,07:19,12.967813124486499,77.58688450286047,1982.3355086702613,Sunny/Clear,Potholes/Damaged,0,0,0,0
BLR-29,3,02/01/2024,07:03,13.004229666852083,77.62724845135085,1038.7742968145376,Sunny/Clear,Dry,0,0,0,0
BLR-30,3,02/01/2024,22:31,12.885160255884273,77.60242971825662,1590.4485276483822,Sunny/Clear,Dry,0,1,0,0
BLR-31,3,02/01/2024,12:21,12.868857933260992,77.70642746611728,484.79555169557796,Sunny/Clear,Dry,0,1,0,0
BLR-32,3,02/01/2024,16:28,12.950709591849318,77.66173069732453,1811.9888929006788,Sunny/Clear,Dry,0,0,0,0
BLR-33,2,02/01/2024,23:21,13.02677448534199,77.64822213175819,1777.7260618484183,Raining,Wet,1,0,0,0
BLR-34,3,02/01/2024,17:04,12.943817876244905,77.62809351413608,575.1897945505464,Sunny/Clear,Under Construction,0,0,0,0
BLR-35,3,02/01/2024,11:01,12.968449344805583,77.61082189316697,933.7249852389314,Raining,Dry,0,1,0,0
BLR-36,3,02/01/2024,09:06,12.972104538265699,77.63181651466499,1090.0746068608476,Raining,Dry,0,0,0,0
BLR-37,3,02/01/2024,14:58,13.019979341936788,77.5859345257412,1746.7490346626366,Sunny/Clear,Dry,0,0,0,1
BLR-38,4,02/01/2024,21:38,13.02934857153336,77.61366203427258,100.0,Sunny/Clear,Dry,0,1,1,0
BLR-39,2,02/01/2024,14:47,12.938877727661309,77.62875834954636,2474.7584187251455,Sunny/Clear,Dry,0,0,1,0
BLR-40,2,02/01/2024,21:57,12.772049151388039,77.65903944498203,1127.7771760009982,Sunny/Clear,Potholes/Damaged,1,0,0,1
BLR-41,3,02/01/2024,00:46,13.039893907301987,77.58019562877807,2993.8635340761366,Sunny/Clear,Potholes/Damaged,0,0,1,0
BLR-42,2,02/01/2024,02:41,12.968905561408755,77.58466189369334,1505.90697096906,Sunny/Clear,Potholes/Damaged,0,0,0,0
BLR-43,4,02/01/2024,15:01,12.931092838567466,77.62220479400222,321.91707226444055,Sunny/Clear,Dry,0,0,1,0
BLR-44,3,02/01/2024,16:00,12.963212912580602,77.65257732130748,709.6309163393036,Foggy,Wet,1,0,1,0
BLR-45,1,02/01/2024,03:42,12.885426886266012,77.67786062875732,1509.5901316105044,Sunny/Clear,Dry,1,0,0,0
BLR-46,3,02/01/2024,16:01,13.00007428375201,77.6602182250324,816.4397423308825,Sunny/Clear,Potholes/Damaged,0,0,0,1
BLR-47,3,02/01/2024,00:28,12.897762700711867,77.65942650433368,999.7387432555638,Sunny/Clear,Potholes/Damaged,0,0,0,0
BLR-48,2,02/01/2024,05:42,12.921486054603506,77.60236097383536,265.8013869854901,Sunny/Clear,Dry,0,1,1,0
BLR-49,3,02/01/2024,03:23,12.993365773829606,77.6593784281267,1273.0415390567152,Sunny/Clear,Dry,1,0,1,0
BLR-50,3,02/01/2024,10:04,12.875007851450956,77.64144369722541,2238.342331653334,Overcast,Dry,0,0,0,1
