ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Visibility(mi),Weather_Condition,Crossing,Junction,Traffic_Signal,Station,Stop,Amenity,Bump,Give_Way,No_Exit,Railway,Roundabout,Traffic_Calming,Turning_Loop
A-1,3,2023-01-01 00:00:00,2023-01-01 01:18:38,33.963249590556245,-118.21818782522486,0.7264168082253708,43.49446092541264,39.92162927548725,8.274714777662126,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2,2,2023-01-01 00:34:56,2023-01-01 04:34:49,40.83913702524059,-73.94460522166777,0.5497063766689296,56.04991579364049,53.04859247565285,5.43783266415813,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False
A-3,2,2023-01-01 01:09:53,2023-01-01 01:44:20,40.66632974927812,-74.04801358457425,0.3676885013305174,70.98943882390415,87.74249566109738,5.866611930847466,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4,2,2023-01-01 01:44:50,2023-01-01 02:05:49,40.73215698172528,-74.15906241957262,0.42331546399336456,46.288700285178,62.492698174757706,5.380229369367056,Clear,True,True,False,False,False,False,False,False,False,False,False,False,False
A-5,2,2023-01-01 02:19:47,2023-01-01 03:13:07,34.117515606476104,-118.36561007980927,1.349738280274422,56.14408010351204,39.35056843466681,10.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6,2,2023-01-01 02:54:43,2023-01-01 04:14:42,40.640158073958304,-74.11898429610682,1.185949159581171,43.38585823107432,90.29703101721512,10.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7,3,2023-01-01 03:29:40,2023-01-01 03:59:49,34.00184200312606,-118.195882362647,0.7869181301919861,86.64829408549447,82.69766516436404,10.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False
A-8,2,2023-01-01 04:04:37,2023-01-01 04:31:44,34.00864938203799,-118.23482619282322,0.204907038846078,63.75695583810767,88.77280330650756,6.504529090965099,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False
A-9,2,2023-01-01 04:39:34,2023-01-01 06:07:33,41.83007969199153,-87.55400481431627,0.05672259324384981,43.21502602715151,25.828915821812444,8.722032272009706,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False
A-10,2,2023-01-01 05:14:31,2023-01-01 06:32:34,40.66466347102165,-73.85781774523929,0.19388499895001216,51.498678987547635,65.98614599982946,8.508120299460927,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False
A-11,2,2023-01-01 05:49:27,2023-01-01 06:14:41,40.670108095692605,-74.0064422289856,0.6970871697203582,55.32244490775951,45.92652892224105,9.023689376958165,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False
A-12,2,2023-01-01 06:24:24,2023-01-01 08:10:58,25.827503592968256,-80.28946749199768,0.4720889188320943,65.34556395296386,47.894287949491684,6.5592634194630195,Clear,False,True,False,False,False,False,False,False,False,False,False,False,False
A-13,2,2023-01-01 06:59:21,2023-01-01 07:20:52,34.27446504332419,-118.14820882205741,0.6113598815378688,51.3267108296647,72.85197618367116,10.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False
A-14,2,2023-01-01 07:34:18,2023-01-01 07:54:30,40.77187732639963,-73.9922905375048,0.05564987844717822,59.522864752300116,24.997676082184142,6.965787816629225,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False
A-15,2,2023-01-01 08:09:14,2023-01-01 08:43:42,40.63207317257079,-74.13266353708295,0.0862530760120195,55.440179966128426,63.167456215025645,8.25550530942767,Clear,False,False,False,False,False,False,False,True,False,False,False,False,False
A-16,2,2023-01-01 08:44:11,2023-01-01 10:37:07,40.67594889832322,-73.92143022190248,0.5457981453037664,43.45056800291455,90.66499772118976,10.0,Clear,False,True,True,False,False,False,False,False,False,False,False,False,False
A-17,2,2023-01-01 09:19:08,2023-01-01 10:27:38,40.622355815625475,-73.99524568938976,0.23244878326337315,51.27311904908082,62.90149782900771,9.622770923011934,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False
A-18,3,2023-01-01 09:54:05,2023-01-01 10:31:40,29.706246239975524,-95.32086589689273,0.23037358209684236,53.425831123055154,81.8725137833049,10.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False
A-19,2,2023-01-01 10:29:02,2023-01-01 10:51:43,40.759369823577046,-73.93498012323253,0.24933281740647756,46.710100375134935,62.40864251595681,9.006318623274781,Clear,False,True,False,False,False,False,False,False,False,False,False,False,False
A-20,2,2023-01-01 11:03:58,2023-01-01 12:15:13,41.81096259814219,-87.6545369900681,0.7946703093725891,43.34774418474686,42.94900689118444,10.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False
A-21,3,2023-01-01 11:38:55,2023-01-01 12:35:03,29.639747736836203,-95.2818282419372,0.6004122004888124,56.07237402394716,98.59741566792614,10.0,Mostly Cloudy,False,True,False,False,False,False,False,False,False,False,False,False,False
A-22,2,2023-01-01 12:13:52,2023-01-01 15:46:43,40.62429320207952,-74.10169652992646,0.05604472936176893,77.96951603757559,56.15461843193113,5.045714977562567,Clear,False,True,False,False,False,False,False,False,False,False,False,False,False
A-23,2,2023-01-01 12:48:49,2023-01-01 14:09:05,41.94488363353844,-87.60607508925368,0.2110696645139791,62.7810957703291,34.809693560476966,6.090256422792724,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False
